stationId,stationName,observationTime,NFDRType,fuelModelType,oneHR_TL_FuelMoisture,tenHR_TL_FuelMoisture,hundredHR_TL_FuelMoisture,thousandHR_TL_FuelMoisture,kbdi,gsi,woodyLFI_fuelMoisture,herbaceousLFI_fuelMoisture,ignitionComponent,energyReleaseComponent,spreadComponent,burningIndex
40402,BIG HILL,2025-06-05,O,Y,6.65,6.04,8.75,11.12,432,0.87,163.96,193.36,38.06,56.80,4.37,37.94
40402,BIG HILL,2025-06-05,O,Z,6.65,6.04,8.75,11.12,432,0.87,163.96,193.36,30.13,117.61,11.19,81.74
40404,BRUSH MOUNTAIN,2025-06-05,O,V,6.88,6.18,8.68,10.91,230,0.92,176.97,213.81,4.17,0.31,1.44,1.88
40404,BRUSH MOUNTAIN,2025-06-05,O,W,6.88,6.18,8.68,10.91,230,0.92,176.97,213.81,6.98,2.87,2.34,6.97
40404,BRUSH MOUNTAIN,2025-06-05,O,X,6.88,6.18,8.68,10.91,230,0.92,176.97,213.81,11.37,35.57,14.09,43.46
40404,BRUSH MOUNTAIN,2025-06-05,O,Y,6.88,6.18,8.68,10.91,230,0.92,176.97,213.81,35.41,52.71,3.91,34.91
40404,BRUSH MOUNTAIN,2025-06-05,O,Z,6.88,6.18,8.68,10.91,230,0.92,176.97,213.81,27.75,103.51,12.08,73.20
40423,ALDER POINT,2025-06-05,O,V,7.50,7.56,13.96,16.57,210,0.99,198.55,247.72,1.92,0.05,0.30,0.42
40423,ALDER POINT,2025-06-05,O,W,7.50,7.56,13.96,16.57,210,0.99,198.55,247.72,5.04,2.11,1.30,4.56
40423,ALDER POINT,2025-06-05,O,X,7.50,7.56,13.96,16.57,210,0.99,198.55,247.72,8.82,30.95,6.55,33.29
40423,ALDER POINT,2025-06-05,O,Y,7.50,7.56,13.96,16.57,210,0.99,198.55,247.72,31.01,32.56,3.57,26.69
40423,ALDER POINT,2025-06-05,O,Z,7.50,7.56,13.96,16.57,210,0.99,198.55,247.72,23.57,76.07,8.19,56.71
40501,BIG BAR,2025-06-05,O,V,3.74,7.16,10.11,12.16,436,0.07,60.00,30.00,39.54,8.88,38.31,42.98
40501,BIG BAR,2025-06-05,O,W,3.74,7.16,10.11,12.16,436,0.07,60.00,30.00,33.60,10.57,15.88,31.66
40501,BIG BAR,2025-06-05,O,X,3.74,7.16,10.11,12.16,436,0.07,60.00,30.00,44.66,90.23,47.07,140.05
40501,BIG BAR,2025-06-05,O,Y,3.74,7.16,10.11,12.16,436,0.07,60.00,30.00,48.20,47.26,2.64,27.70
